Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2015-01-02,27.84749984741211,27.860000610351562,26.837499618530273,27.332500457763672,24.214895248413086,212818400,0.503250002861023,0.5070000290870667,0.49524998664855957,0.503250002861023,0.4829852879047394,113680000,26.6299991607666,26.790000915527344,26.393999099731445,26.477500915527344,26.260456085205078,26480000
2015-01-05,27.072500228881836,27.162500381469727,26.352500915527344,26.5625,23.532724380493164,257142000,0.503250002861023,0.5047500133514404,0.4925000071525574,0.4947499930858612,0.47482743859291077,197952000,26.357500076293945,26.399499893188477,25.887500762939453,25.972999572753906,25.760089874267578,41182000
2015-01-06,26.635000228881836,26.857500076293945,26.157499313354492,26.565000534057617,23.534936904907227,263188400,0.49549999833106995,0.4959999918937683,0.4792500138282776,0.47975000739097595,0.4604315757751465,197764000,26.024999618530273,26.06049919128418,25.27750015258789,25.332000732421875,25.12434959411621,54456000
2015-01-07,26.799999237060547,27.049999237060547,26.674999237060547,26.9375,23.864940643310547,160423600,0.4832499921321869,0.48750001192092896,0.47699999809265137,0.47850000858306885,0.4592319130897522,321808000,25.547500610351562,25.574499130249023,25.1825008392334,25.25749969482422,25.050457000732422,46918000
2015-01-08,27.3075008392334,28.037500381469727,27.174999237060547,27.97249984741211,24.781888961791992,237458000,0.48399999737739563,0.49950000643730164,0.48374998569488525,0.4964999854564667,0.47650694847106934,283780000,25.07550048828125,25.375,24.750999450683594,25.345500946044922,25.137737274169922,73054000
2015-01-09,28.167499542236328,28.3125,27.552499771118164,28.002500534057617,24.808473587036133,214798000,0.49825000762939453,0.5022500157356262,0.49149999022483826,0.4984999895095825,0.4784264862537384,209540000,25.409000396728516,25.43000030517578,24.9325008392334,25.035999298095703,24.83077049255371,42000000
2015-01-12,28.149999618530273,28.157499313354492,27.200000762939453,27.3125,24.197175979614258,198603200,0.4997499883174896,0.5,0.48774999380111694,0.492249995470047,0.4724282920360565,190732000,24.961999893188477,25.013999938964844,24.545499801635742,24.85300064086914,24.649276733398438,57138000
2015-01-13,27.857500076293945,28.200000762939453,27.227500915527344,27.55500030517578,24.412012100219727,268367600,0.4959999918937683,0.5059999823570251,0.4880000054836273,0.49149999022483826,0.4717083275318146,236720000,25.12849998474121,25.43000030517578,24.863000869750977,25.09000015258789,24.88433074951172,60958000
2015-01-14,27.260000228881836,27.622499465942383,27.125,27.450000762939453,24.318986892700195,195826400,0.48625001311302185,0.4950000047683716,0.48500001430511475,0.4934999942779541,0.47362783551216125,155260000,25.020999908447266,25.413000106811523,24.908000946044922,25.296499252319336,25.089139938354492,52800000
2015-01-15,27.5,27.514999389648438,26.665000915527344,26.704999923706055,23.65896987915039,240056000,0.4970000088214874,0.5,0.4897499978542328,0.49000000953674316,0.47026893496513367,188932000,25.444499969482422,25.487499237060547,25.100500106811523,25.20050048828125,24.993927001953125,51068000
2015-01-16,26.75749969482422,26.895000457763672,26.299999237060547,26.497499465942383,23.475135803222656,314053200,0.4892500042915344,0.49950000643730164,0.48774999380111694,0.49900001287460327,0.47890645265579224,181512000,25.157499313354492,25.542499542236328,25.154499053955078,25.523000717163086,25.31378173828125,49658000
2015-01-20,26.959999084472656,27.24250030517578,26.625,27.18000030517578,24.07978630065918,199599600,0.5024999976158142,0.5052499771118164,0.49424999952316284,0.5005000233650208,0.48034602403640747,140308000,25.638500213623047,25.780500411987305,25.4685001373291,25.496999740600586,25.287994384765625,46796000
2015-01-21,27.237499237060547,27.764999389648438,27.0674991607666,27.387500762939453,24.26361656188965,194303600,0.49775001406669617,0.5087500214576721,0.49424999952316284,0.5074999928474426,0.4870639145374298,144780000,25.54199981689453,26.092500686645508,25.47949981689453,26.019500732421875,25.80621337890625,46356000
2015-01-22,27.565000534057617,28.11750030517578,27.43000030517578,28.100000381469727,24.894847869873047,215185600,0.5084999799728394,0.5177500247955322,0.503250002861023,0.5162500143051147,0.49546167254447937,159712000,26.149999618530273,26.941999435424805,26.095500946044922,26.864999771118164,26.644779205322266,56068000
2015-01-23,28.075000762939453,28.4375,27.88249969482422,28.2450008392334,25.0233097076416,185859200,0.5167499780654907,0.518750011920929,0.512499988079071,0.5177500247955322,0.49690133333206177,120416000,26.901500701904297,27.27050018310547,26.787500381469727,27.09749984741211,26.875375747680664,45966000
2015-01-26,28.434999465942383,28.59000015258789,28.200000762939453,28.274999618530273,25.049888610839844,222460000,0.515500009059906,0.5180000066757202,0.5122500061988831,0.515500009059906,0.49474209547042847,133240000,27.075000762939453,27.075000762939453,26.603500366210938,26.836000442504883,26.61602020263672,30932000
2015-01-27,28.104999542236328,28.1200008392334,27.25749969482422,27.28499984741211,24.172807693481445,382274800,0.5074999928474426,0.5080000162124634,0.4897499978542328,0.4907500147819519,0.47098854184150696,357948000,26.56999969482422,26.638999938964844,26.042999267578125,26.059499740600586,25.845884323120117,39148000
2015-01-28,29.407499313354492,29.530000686645508,28.827499389648438,28.827499389648438,25.53936767578125,585908400,0.49674999713897705,0.4987500011920929,0.48249998688697815,0.4827499985694885,0.46331074833869934,272728000,26.25,26.284500122070312,25.61750030517578,25.62150001525879,25.411474227905273,35822000
2015-01-29,29.079999923706055,29.797500610351562,28.889999389648438,29.725000381469727,26.334501266479492,337745600,0.4830000102519989,0.4972499907016754,0.4807499945163727,0.4945000112056732,0.47458764910697937,235340000,25.645000457763672,25.75950050354004,25.173999786376953,25.661500930786133,25.451148986816406,79018000
2015-01-30,29.600000381469727,30.0,29.212499618530273,29.290000915527344,25.949121475219727,334982000,0.4909999966621399,0.49674999713897705,0.4792500138282776,0.47999998927116394,0.4606715142726898,298200000,25.950000762939453,27.155000686645508,25.909000396728516,26.877500534057617,26.65717887878418,121108000
