Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,206.3800048828125,206.8800048828125,204.17999267578125,205.42999267578125,170.58963012695312,121465900.0
2015-01-05,204.1699981689453,204.3699951171875,201.35000610351562,201.72000122070312,167.5088348388672,169632600.0
2015-01-06,202.08999633789062,202.72000122070312,198.86000061035156,199.82000732421875,165.9310760498047,209151400.0
2015-01-07,201.4199981689453,202.72000122070312,200.8800048828125,202.30999755859375,167.99879455566406,125346700.0
2015-01-08,204.00999450683594,206.16000366210938,203.99000549316406,205.89999389648438,170.97987365722656,147217800.0
2015-01-09,206.39999389648438,206.4199981689453,203.50999450683594,204.25,169.6097412109375,158567300.0
2015-01-12,204.41000366210938,204.60000610351562,201.9199981689453,202.64999389648438,168.2810516357422,144396100.0
2015-01-13,204.1199951171875,205.47999572753906,200.50999450683594,202.0800018310547,167.80775451660156,214553300.0
2015-01-14,199.64999389648438,201.10000610351562,198.57000732421875,200.86000061035156,166.79466247558594,192991100.0
2015-01-15,201.6300048828125,202.00999450683594,198.8800048828125,199.02000427246094,165.26669311523438,176613900.0
2015-01-16,198.77000427246094,201.82000732421875,198.5500030517578,201.6300048828125,167.43411254882812,211879600.0
2015-01-20,202.39999389648438,202.72000122070312,200.1699981689453,202.05999755859375,167.79119873046875,130991100.0
2015-01-21,201.5,203.66000366210938,200.94000244140625,203.0800018310547,168.63812255859375,122942700.0
2015-01-22,203.99000549316406,206.25999450683594,202.3300018310547,206.10000610351562,171.14596557617188,174356000.0
2015-01-23,205.7899932861328,206.10000610351562,204.80999755859375,204.97000122070312,170.20761108398438,117516800.0
2015-01-26,204.7100067138672,205.55999755859375,203.85000610351562,205.4499969482422,170.606201171875,92009700.0
2015-01-27,202.97000122070312,204.1199951171875,201.74000549316406,202.74000549316406,168.35581970214844,134044600.0
2015-01-28,204.1699981689453,204.2899932861328,199.91000366210938,200.13999938964844,166.19677734375,168514300.0
2015-01-29,200.3800048828125,202.3000030517578,198.67999267578125,201.99000549316406,167.7330322265625,173585400.0
2015-01-30,200.57000732421875,202.1699981689453,199.1300048828125,199.4499969482422,165.6238250732422,197729700.0
2015-02-02,200.0500030517578,202.02999877929688,197.86000061035156,201.9199981689453,167.6749267578125,163107000.0
2015-02-03,203.0,204.85000610351562,202.5500030517578,204.83999633789062,170.0996856689453,124212900.0
2015-02-04,203.9199981689453,205.3800048828125,203.50999450683594,204.05999755859375,169.45201110839844,134306700.0
2015-02-05,204.86000061035156,206.3000030517578,204.77000427246094,206.1199951171875,171.16256713867188,97953200.0
2015-02-06,206.55999755859375,207.24000549316406,204.9199981689453,205.5500030517578,170.6892547607422,125672000.0
2015-02-09,204.77000427246094,205.63999938964844,204.13999938964844,204.6300048828125,169.92527770996094,87219000.0
2015-02-10,205.8800048828125,207.1199951171875,204.67999267578125,206.80999755859375,171.735595703125,96164200.0
2015-02-11,206.61000061035156,207.4499969482422,205.8300018310547,206.92999267578125,171.83523559570312,91087800.0
2015-02-12,207.88999938964844,208.99000549316406,206.97000122070312,208.9199981689453,173.4877471923828,97545900.0
2015-02-13,209.07000732421875,209.83999633789062,208.75999450683594,209.77999877929688,174.20188903808594,93670400.0
2015-02-17,209.39999389648438,210.32000732421875,209.10000610351562,210.11000061035156,174.47586059570312,76968200.0
2015-02-18,209.66000366210938,210.22000122070312,209.33999633789062,210.1300048828125,174.49249267578125,80652900.0
2015-02-19,209.41000366210938,210.4199981689453,209.24000549316406,209.97999572753906,174.367919921875,91462500.0
2015-02-20,209.47999572753906,211.3300018310547,208.72999572753906,211.24000549316406,175.4142303466797,140896400.0
2015-02-23,210.94000244140625,211.2100067138672,210.47999572753906,211.2100067138672,175.38929748535156,74411100.0
2015-02-24,211.1199951171875,212.0500030517578,210.75999450683594,211.80999755859375,175.88755798339844,72472300.0
2015-02-25,211.66000366210938,212.24000549316406,211.22000122070312,211.6300048828125,175.7381591796875,73061700.0
2015-02-26,211.52000427246094,211.7100067138672,210.64999389648438,211.3800048828125,175.5305633544922,72697900.0
2015-02-27,211.25999450683594,211.5800018310547,210.60000610351562,210.66000366210938,174.93258666992188,108076000.0
2015-03-02,210.77999877929688,212.05999755859375,210.72000122070312,211.99000549316406,176.03704833984375,87491400.0
2015-03-03,211.47000122070312,212.0500030517578,210.0800018310547,211.1199951171875,175.31463623046875,110325800.0
2015-03-04,210.39999389648438,210.49000549316406,209.05999755859375,210.22999572753906,174.57554626464844,114497200.0
2015-03-05,210.6199951171875,210.8000030517578,209.85000610351562,210.4600067138672,174.76658630371094,76873000.0
2015-03-06,209.4199981689453,209.94000244140625,207.10000610351562,207.5,172.30853271484375,188128000.0
2015-03-09,207.74000549316406,208.7899932861328,207.5500030517578,208.36000061035156,173.02268981933594,89818900.0
2015-03-10,206.7100067138672,206.80999755859375,204.92999267578125,204.97999572753906,170.2159423828125,157121300.0
2015-03-11,205.2899932861328,205.5,204.39999389648438,204.5,169.81736755371094,110145700.0
2015-03-12,205.25999450683594,207.17999267578125,205.1999969482422,207.10000610351562,171.9763946533203,93993500.0
2015-03-13,206.77000427246094,207.92999267578125,204.5800018310547,205.8300018310547,170.9217529296875,162410900.0
2015-03-16,206.7100067138672,208.69000244140625,205.86000061035156,208.5800018310547,173.2053680419922,136099200.0
2015-03-17,207.69000244140625,208.4199981689453,206.97999572753906,207.9600067138672,172.69052124023438,94510400.0
2015-03-18,207.38999938964844,211.27000427246094,206.6199951171875,210.4600067138672,174.76658630371094,228808500.0
2015-03-19,209.9600067138672,210.47000122070312,209.02999877929688,209.5,173.96932983398438,117917300.0
2015-03-20,209.7100067138672,211.02000427246094,209.49000549316406,210.41000366210938,175.5050048828125,177715100.0
2015-03-23,210.4199981689453,211.11000061035156,210.0,210.0,175.16299438476562,71784500.0
2015-03-24,209.85000610351562,210.39999389648438,208.74000549316406,208.82000732421875,174.1787567138672,77805300.0
2015-03-25,209.07000732421875,209.35000610351562,205.7100067138672,205.75999450683594,171.62632751464844,159521700.0
2015-03-26,204.9600067138672,206.3699951171875,204.1199951171875,205.27000427246094,171.21763610839844,153067200.0
2015-03-27,205.1300048828125,205.9499969482422,204.89999389648438,205.74000549316406,171.60968017578125,118939000.0
2015-03-30,206.97999572753906,208.61000061035156,206.9600067138672,208.25,173.7032928466797,96180400.0
2015-03-31,207.25999450683594,208.10000610351562,206.36000061035156,206.42999267578125,172.18521118164062,126768700.0
2015-04-01,206.38999938964844,206.4199981689453,204.50999450683594,205.6999969482422,171.57630920410156,137303600.0
2015-04-02,205.6199951171875,206.97999572753906,205.39999389648438,206.44000244140625,172.19346618652344,86900900.0
2015-04-06,205.3699951171875,208.4499969482422,205.2100067138672,207.8300018310547,173.3529815673828,114368200.0
2015-04-07,207.86000061035156,208.75999450683594,207.24000549316406,207.27999877929688,172.8942108154297,81236300.0
2015-04-08,207.5500030517578,208.50999450683594,207.0800018310547,207.97999572753906,173.47804260253906,89351900.0
2015-04-09,207.77999877929688,209.17999267578125,207.19000244140625,208.89999389648438,174.24542236328125,85548900.0
2015-04-10,209.1999969482422,210.08999633789062,208.9600067138672,210.0399932861328,175.1963348388672,72722900.0
2015-04-13,209.8699951171875,210.6300048828125,209.02999877929688,209.08999633789062,174.40394592285156,74436600.0
2015-04-14,208.85000610351562,209.7100067138672,208.10000610351562,209.49000549316406,174.73764038085938,75099900.0
2015-04-15,210.0500030517578,211.0399932861328,209.9499969482422,210.42999267578125,175.5216064453125,99529300.0
2015-04-16,210.02999877929688,210.97999572753906,209.7899932861328,210.3699951171875,175.47157287597656,68934900.0
2015-04-17,208.94000244140625,209.22999572753906,207.00999450683594,207.9499969482422,173.45306396484375,191113200.0
2015-04-20,209.05999755859375,210.25,208.9600067138672,209.85000610351562,175.03787231445312,92189500.0
2015-04-21,210.6699981689453,210.86000061035156,209.24000549316406,209.60000610351562,174.829345703125,72559800.0
2015-04-22,210.00999450683594,210.85000610351562,208.89999389648438,210.6300048828125,175.6884765625,78264600.0
2015-04-23,210.14999389648438,211.94000244140625,210.00999450683594,211.16000366210938,176.13050842285156,102585900.0
2015-04-24,211.66000366210938,211.97000122070312,211.11000061035156,211.64999389648438,176.5392608642578,61327400.0
2015-04-27,212.3300018310547,212.47999572753906,210.5399932861328,210.77000427246094,175.8052215576172,79358100.0
2015-04-28,210.74000549316406,211.5,209.3300018310547,211.44000244140625,176.3640899658203,86863500.0
2015-04-29,210.3699951171875,211.2899932861328,209.60000610351562,210.57000732421875,175.63841247558594,125684900.0
2015-04-30,209.8800048828125,210.35000610351562,207.6199951171875,208.4600067138672,173.87841796875,161304900.0
2015-05-01,209.39999389648438,210.77000427246094,209.27999877929688,210.72000122070312,175.76351928710938,103399700.0
2015-05-04,211.22999572753906,212.02000427246094,211.10000610351562,211.32000732421875,176.26397705078125,70927200.0
2015-05-05,211.02999877929688,211.4600067138672,208.72999572753906,208.89999389648438,174.24542236328125,113326200.0
2015-05-06,209.55999755859375,209.92999267578125,206.75999450683594,208.0399932861328,173.52813720703125,135060200.0
2015-05-07,207.9199981689453,209.3800048828125,207.52000427246094,208.8699951171875,174.22039794921875,88244900.0
2015-05-08,210.8800048828125,211.86000061035156,210.77999877929688,211.6199951171875,176.5142364501953,155877300.0
2015-05-11,211.57000732421875,211.88999938964844,210.52000427246094,210.61000061035156,175.67176818847656,75708100.0
2015-05-12,209.61000061035156,210.6300048828125,208.6199951171875,209.97999572753906,175.14627075195312,119727600.0
2015-05-13,210.47000122070312,211.22000122070312,209.74000549316406,210.02000427246094,175.17965698242188,94667900.0
2015-05-14,211.24000549316406,212.32000732421875,210.91000366210938,212.2100067138672,177.00637817382812,95934000.0
2015-05-15,212.44000244140625,212.61000061035156,211.86000061035156,212.44000244140625,177.19822692871094,76510100.0
2015-05-18,212.24000549316406,213.39999389648438,212.16000366210938,213.10000610351562,177.74867248535156,74549700.0
2015-05-19,213.24000549316406,213.57000732421875,212.69000244140625,213.02999877929688,177.6903839111328,72114600.0
2015-05-20,213.14999389648438,213.77999877929688,212.5,212.8800048828125,177.5652313232422,76857500.0
2015-05-21,212.7100067138672,213.75,212.50999450683594,213.5,178.08230590820312,64764600.0
2015-05-22,213.0399932861328,213.5399932861328,212.91000366210938,212.99000549316406,177.65696716308594,57433500.0
2015-05-26,212.39999389648438,212.91000366210938,210.1999969482422,210.6999969482422,175.74685668945312,124308600.0
2015-05-27,211.25,212.97999572753906,210.75999450683594,212.6999969482422,177.41505432128906,93214000.0
2015-05-28,212.3300018310547,212.58999633789062,211.6300048828125,212.4600067138672,177.21490478515625,74974600.0
2015-05-29,212.3800048828125,212.42999267578125,210.82000732421875,211.13999938964844,176.11387634277344,124919600.0
2015-06-01,211.94000244140625,212.33999633789062,210.6199951171875,211.57000732421875,176.47254943847656,93338800.0
2015-06-02,211.02000427246094,212.19000244140625,210.27000427246094,211.36000061035156,176.29734802246094,91531000.0
2015-06-03,212.0,212.6699981689453,211.3300018310547,211.9199981689453,176.7644805908203,87820900.0
2015-06-04,211.07000732421875,211.86000061035156,209.75,210.1300048828125,175.27139282226562,151882800.0
2015-06-05,209.9499969482422,210.5800018310547,208.97999572753906,209.77000427246094,174.97117614746094,121704700.0
2015-06-08,209.63999938964844,209.82000732421875,208.38999938964844,208.47999572753906,173.8950958251953,89063300.0
2015-06-09,208.4499969482422,209.10000610351562,207.69000244140625,208.4499969482422,173.8700714111328,105034700.0
2015-06-10,209.3699951171875,211.41000366210938,209.3000030517578,210.9499969482422,175.95538330078125,134551300.0
2015-06-11,211.47999572753906,212.08999633789062,211.1999969482422,211.6300048828125,176.52259826660156,73876400.0
2015-06-12,210.63999938964844,211.47999572753906,209.67999267578125,210.00999450683594,175.17132568359375,135382400.0
2015-06-15,208.63999938964844,209.4499969482422,207.7899932861328,209.11000061035156,174.42063903808594,124384200.0
2015-06-16,208.92999267578125,210.35000610351562,208.72000122070312,210.25,175.3715362548828,85308200.0
2015-06-17,210.58999633789062,211.32000732421875,209.36000061035156,210.58999633789062,175.6550750732422,126708600.0
2015-06-18,211.30999755859375,213.33999633789062,210.6300048828125,212.77999877929688,177.48184204101562,165867900.0
2015-06-19,211.4600067138672,211.5500030517578,210.36000061035156,210.80999755859375,176.6939239501953,130478700.0
2015-06-22,211.91000366210938,212.58999633789062,211.63999938964844,211.88999938964844,177.59913635253906,70696000.0
2015-06-23,212.13999938964844,212.44000244140625,211.57000732421875,212.0399932861328,177.72483825683594,68476800.0
2015-06-24,211.72000122070312,212.1699981689453,210.47000122070312,210.5,176.43411254882812,92307300.0
2015-06-25,211.10000610351562,211.25,209.77000427246094,209.86000061035156,175.89768981933594,97107400.0
2015-06-26,210.2899932861328,210.5800018310547,209.16000366210938,209.82000732421875,175.8641357421875,104174800.0
2015-06-29,208.0500030517578,209.8300018310547,205.3300018310547,205.4199981689453,172.1761474609375,202621300.0
2015-06-30,207.25999450683594,207.32000732421875,205.27999877929688,205.85000610351562,172.53663635253906,182925100.0
2015-07-01,207.72999572753906,208.02999877929688,206.55999755859375,207.5,173.91961669921875,135979900.0
2015-07-02,208.07000732421875,208.27000427246094,206.80999755859375,207.30999755859375,173.76034545898438,104373700.0
2015-07-06,205.77000427246094,207.64999389648438,205.52999877929688,206.72000122070312,173.26580810546875,117975400.0
2015-07-07,206.9600067138672,208.1699981689453,204.11000061035156,208.02000427246094,174.35549926757812,173820200.0
2015-07-08,206.4199981689453,206.75999450683594,204.25,204.52999877929688,171.43023681640625,164020100.0
2015-07-09,207.0399932861328,207.35000610351562,204.77000427246094,204.89999389648438,171.74037170410156,144113100.0
2015-07-10,207.2899932861328,207.97999572753906,204.9499969482422,207.47999572753906,173.9027862548828,129456900.0
2015-07-13,208.99000549316406,209.89999389648438,208.94000244140625,209.77000427246094,175.82225036621094,106069400.0
2015-07-14,209.72000122070312,211.0500030517578,209.64999389648438,210.67999267578125,176.58497619628906,81709600.0
2015-07-15,210.72999572753906,211.27999877929688,210.0399932861328,210.61000061035156,176.52627563476562,97914100.0
2015-07-16,211.8699951171875,212.3000030517578,211.5800018310547,212.3000030517578,177.9427947998047,106683300.0
2015-07-17,212.2899932861328,212.5500030517578,211.8000030517578,212.47999572753906,178.09365844726562,89030000.0
2015-07-20,212.75,213.17999267578125,212.2100067138672,212.58999633789062,178.18582153320312,70446800.0
2015-07-21,212.42999267578125,212.74000549316406,211.38999938964844,211.75,177.48179626464844,77965000.0
2015-07-22,210.92999267578125,211.77000427246094,210.88999938964844,211.3699951171875,177.16326904296875,88667900.0
2015-07-23,211.52999877929688,211.64999389648438,209.75,210.17999267578125,176.1658935546875,90509100.0
