case_id,source_file,query,intent,start,end,period,interval,ticker,datetime,Open,High,Low,Close,Adj Close,Volume
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2025-12-17 00:00:00,275.010009765625,276.1600036621094,271.6400146484375,271.8399963378906,271.5858764648437,50138700
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2025-12-18 00:00:00,273.6099853515625,273.6300048828125,266.95001220703125,272.19000244140625,271.935546875,51630700
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2025-12-19 00:00:00,272.1499938964844,274.6000061035156,269.8999938964844,273.6700134277344,273.4141845703125,144632000
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2025-12-22 00:00:00,272.8599853515625,273.8800048828125,270.510009765625,270.9700012207031,270.7166748046875,36571800
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2025-12-23 00:00:00,270.8399963378906,272.5,269.5599975585937,272.3599853515625,272.1053771972656,29642000
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2025-12-24 00:00:00,272.3399963378906,275.42999267578125,272.20001220703125,273.8099975585937,273.55401611328125,17910600
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2025-12-26 00:00:00,274.1600036621094,275.3699951171875,272.8599853515625,273.3999938964844,273.1444091796875,21521800
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2025-12-29 00:00:00,272.69000244140625,274.3599853515625,272.3500061035156,273.760009765625,273.50408935546875,23715200
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2025-12-30 00:00:00,272.8099975585937,274.0799865722656,272.2799987792969,273.0799865722656,272.82470703125,22139600
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2025-12-31 00:00:00,273.0599975585937,273.67999267578125,271.75,271.8599853515625,271.6058349609375,27293600
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-02 00:00:00,272.260009765625,277.8399963378906,269.0,271.010009765625,270.75665283203125,37838100
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-05 00:00:00,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,267.0101623535156,45647200
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-06 00:00:00,267.0,267.54998779296875,262.1199951171875,262.3599853515625,262.1147155761719,52352100
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-07 00:00:00,263.20001220703125,263.67999267578125,259.8099975585937,260.3299865722656,260.08660888671875,48309800
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-08 00:00:00,257.0199890136719,259.2900085449219,255.6999969482422,259.0400085449219,258.7978515625,50419300
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-09 00:00:00,259.0799865722656,260.2099914550781,256.2200012207031,259.3699951171875,259.1275329589844,39997000
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-12 00:00:00,259.1600036621094,261.29998779296875,256.79998779296875,260.25,260.0067138671875,45263800
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-13 00:00:00,258.7200012207031,261.8099975585937,258.3900146484375,261.04998779296875,260.8059387207031,45730800
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-14 00:00:00,259.489990234375,261.82000732421875,256.7099914550781,259.9599914550781,259.71697998046875,40019400
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-15 00:00:00,260.6499938964844,261.0400085449219,257.04998779296875,258.2099914550781,257.9685974121094,39388600
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-16 00:00:00,257.8999938964844,258.8999938964844,254.92999267578125,255.52999877929688,255.29112243652344,72142800
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-20 00:00:00,252.72999572753903,254.7899932861328,243.4199981689453,246.6999969482422,246.4693756103516,80267500
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-21 00:00:00,248.6999969482422,251.55999755859372,245.17999267578125,247.6499938964844,247.41848754882807,54641700
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-22 00:00:00,249.1999969482422,251.0,248.1499938964844,248.3500061035156,248.1178436279297,39708300
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-23 00:00:00,247.32000732421875,249.41000366210935,244.67999267578125,248.0399932861328,247.80812072753903,41689000
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-26 00:00:00,251.47999572753903,256.5599975585937,249.8000030517578,255.41000366210935,255.17123413085935,55969200
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-27 00:00:00,259.1700134277344,261.95001220703125,258.2099914550781,258.2699890136719,258.0285339355469,49648300
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-28 00:00:00,257.6499938964844,258.8599853515625,254.50999450683597,256.44000244140625,256.2002868652344,41288000
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-29 00:00:00,258.0,259.6499938964844,254.41000366210935,258.2799987792969,258.0385437011719,67253000
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-01-30 00:00:00,255.1699981689453,261.8999938964844,252.17999267578125,259.4800109863281,259.2374267578125,92443400
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-02 00:00:00,260.0299987792969,270.489990234375,259.2099914550781,270.010009765625,269.7575988769531,73913400
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-03 00:00:00,269.20001220703125,271.8800048828125,267.6099853515625,269.4800109863281,269.22808837890625,64394700
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-04 00:00:00,272.2900085449219,278.95001220703125,272.2900085449219,276.489990234375,276.23150634765625,90545700
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-05 00:00:00,278.1300048828125,279.5,273.2300109863281,275.9100036621094,275.6520690917969,52977400
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-06 00:00:00,277.1199951171875,280.9100036621094,276.92999267578125,278.1199951171875,277.8599853515625,50453400
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-09 00:00:00,277.9100036621094,278.20001220703125,271.70001220703125,274.6199951171875,274.6199951171875,44623400
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-10 00:00:00,274.8900146484375,275.3699951171875,272.94000244140625,273.67999267578125,273.67999267578125,34376900
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-11 00:00:00,274.70001220703125,280.17999267578125,274.45001220703125,275.5,275.5,51931300
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-12 00:00:00,275.5899963378906,275.7200012207031,260.17999267578125,261.7300109863281,261.7300109863281,81077200
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-13 00:00:00,262.010009765625,262.2300109863281,255.4499969482422,255.77999877929688,255.77999877929688,56290700
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-17 00:00:00,258.04998779296875,266.2900085449219,255.5399932861328,263.8800048828125,263.8800048828125,58469100
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-18 00:00:00,263.6000061035156,266.82000732421875,262.45001220703125,264.3500061035156,264.3500061035156,34203300
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-19 00:00:00,262.6000061035156,264.4800109863281,260.04998779296875,260.5799865722656,260.5799865722656,30845300
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-20 00:00:00,258.9700012207031,264.75,258.1600036621094,264.5799865722656,264.5799865722656,42070500
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-23 00:00:00,263.489990234375,269.42999267578125,263.3800048828125,266.17999267578125,266.17999267578125,37308200
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-24 00:00:00,267.8599853515625,274.8900146484375,267.7099914550781,272.1400146484375,272.1400146484375,47014600
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-25 00:00:00,271.7799987792969,274.94000244140625,271.04998779296875,274.2300109863281,274.2300109863281,33714300
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-26 00:00:00,274.95001220703125,276.1099853515625,270.79998779296875,272.95001220703125,272.95001220703125,32345100
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-02-27 00:00:00,272.8099975585937,272.8099975585937,262.8900146484375,264.17999267578125,264.17999267578125,72366500
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-03-02 00:00:00,262.4100036621094,266.5299987792969,260.20001220703125,264.7200012207031,264.7200012207031,41827900
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-03-03 00:00:00,263.4800109863281,265.5599975585937,260.1300048828125,263.75,263.75,38568900
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-03-04 00:00:00,264.6499938964844,266.1499938964844,261.4200134277344,262.5199890136719,262.5199890136719,39803100
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-03-05 00:00:00,260.7900085449219,261.5599975585937,257.25,260.2900085449219,260.2900085449219,49658600
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-03-06 00:00:00,258.6300048828125,258.7699890136719,254.3699951171875,257.4599914550781,257.4599914550781,41120000
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-03-09 00:00:00,255.69000244140625,261.1499938964844,253.67999267578125,259.8800048828125,259.8800048828125,38218500
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-03-10 00:00:00,257.6499938964844,262.4800109863281,256.95001220703125,260.8299865722656,260.8299865722656,30590800
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-03-11 00:00:00,261.0899963378906,262.1300048828125,259.54998779296875,260.8099975585937,260.8099975585937,26218900
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-03-12 00:00:00,258.6600036621094,258.95001220703125,254.17999267578125,255.75999450683597,255.75999450683597,40794000
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-03-13 00:00:00,255.47999572753903,256.3299865722656,249.5200042724609,250.1199951171875,250.1199951171875,36930000
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,historical_download,,,3mo,1d,AAPL,2026-03-16 00:00:00,252.10499572753903,253.88499450683597,249.8800048828125,252.82000732421875,252.82000732421875,30091880
compara_nvidia_y_amd_en_2_aos,compara_nvidia_y_amd_en_2_aos.csv,Compara Nvidia y AMD en 2 años,compare_assets,,,2y,1d,AMD,2024-03-18 00:00:00,193.2899932861328,193.5,188.0500030517578,190.6499938964844,190.6499938964844,59306900
compara_nvidia_y_amd_en_2_aos,compara_nvidia_y_amd_en_2_aos.csv,Compara Nvidia y AMD en 2 años,compare_assets,,,2y,1d,AMD,2024-03-19 00:00:00,183.16000366210935,185.6100006103516,177.36000061035156,181.4199981689453,181.4199981689453,83509500
