Ticker,SPY,SPY,SPY,SPY,SPY,SPY,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2024-01-02,472.1600036621094,473.6700134277344,470.489990234375,472.6499938964844,461.2474670410156,123623700,405.8399963378906,406.0899963378906,400.239990234375,402.5899963378906,398.1922302246094,58026900
2024-01-03,470.42999267578125,471.19000244140625,468.1700134277344,468.7900085449219,457.4805908203125,103585900,399.92999267578125,401.0,397.8900146484375,398.3299865722656,393.9787292480469,47002800
2024-01-04,468.29998779296875,470.9599914550781,467.04998779296875,467.2799987792969,456.0069885253906,84232200,396.44000244140625,399.5899963378906,396.05999755859375,396.2799987792969,391.95111083984375,39432800
2024-01-05,467.489990234375,470.44000244140625,466.42999267578125,467.9200134277344,456.6315612792969,86118900,396.45001220703125,399.55999755859375,395.3399963378906,396.75,392.4159851074219,44922800
2024-01-08,468.42999267578125,474.75,468.29998779296875,474.6000061035156,463.150390625,74879100,397.989990234375,405.239990234375,397.8399963378906,404.95001220703125,400.5264587402344,42473800
2024-01-09,471.8699951171875,474.92999267578125,471.3500061035156,473.8800048828125,462.4477844238281,65931400,401.9100036621094,406.69000244140625,401.7099914550781,405.75,401.31768798828125,39132900
2024-01-10,474.1600036621094,477.45001220703125,473.8699951171875,476.55999755859375,465.0631103515625,67310600,406.07000732421875,409.5199890136719,405.1700134277344,408.5,404.03765869140625,33962800
2024-01-11,477.5899963378906,478.1199951171875,472.260009765625,476.3500061035156,464.8581848144531,77940700,409.7900085449219,411.20001220703125,404.239990234375,409.3500061035156,404.87835693359375,54536200
2024-01-12,477.8399963378906,478.6000061035156,475.2300109863281,476.67999267578125,465.18023681640625,58026400,410.3999938964844,411.25,408.1499938964844,409.55999755859375,405.0860290527344,39595000
2024-01-16,475.260009765625,476.6099853515625,473.05999755859375,474.92999267578125,463.4724426269531,85014900,408.30999755859375,411.1199951171875,406.8299865722656,409.5199890136719,405.04644775390625,43903000
2024-01-17,471.82000732421875,472.7900085449219,469.8699951171875,472.2900085449219,460.8960876464844,68843900,406.1700134277344,407.5899963378906,402.9200134277344,407.2099914550781,402.7617492675781,54386000
