Ticker,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X
Price,Open,High,Low,Close,Adj Close,Volume
Datetime,,,,,,
2026-03-04 00:00:00+00:00,1.16130530834198,1.16130530834198,1.15968918800354,1.15968918800354,1.15968918800354,0
2026-03-04 01:00:00+00:00,1.15968918800354,1.160092830657959,1.1579434871673584,1.15968918800354,1.15968918800354,0
2026-03-04 02:00:00+00:00,1.15968918800354,1.1607661247253418,1.1595547199249268,1.1602274179458618,1.1602274179458618,0
2026-03-04 03:00:00+00:00,1.160092830657959,1.16130530834198,1.1599582433700562,1.161170482635498,1.161170482635498,0
2026-03-04 04:00:00+00:00,1.16130530834198,1.16130530834198,1.1595547199249268,1.1598236560821533,1.1598236560821533,0
2026-03-04 05:00:00+00:00,1.1595547199249268,1.1602274179458618,1.1590172052383423,1.1598236560821533,1.1598236560821533,0
2026-03-04 06:00:00+00:00,1.15968918800354,1.1621150970458984,1.1592857837677002,1.161440134048462,1.161440134048462,0
2026-03-04 07:00:00+00:00,1.1615750789642334,1.1627906560897827,1.1615750789642334,1.1621150970458984,1.1621150970458984,0
2026-03-04 08:00:00+00:00,1.1619800329208374,1.1619800329208374,1.160092830657959,1.1602274179458618,1.1602274179458618,0
2026-03-04 09:00:00+00:00,1.1602274179458618,1.1623852252960205,1.1599582433700562,1.161170482635498,1.161170482635498,0
2026-03-04 10:00:00+00:00,1.16130530834198,1.1648223400115967,1.16130530834198,1.1637378931045532,1.1637378931045532,0
2026-03-04 11:00:00+00:00,1.1637378931045532,1.1657729148864746,1.163602590560913,1.163873314857483,1.163873314857483,0
2026-03-04 12:00:00+00:00,1.163873314857483,1.1650937795639038,1.163061261177063,1.163061261177063,1.163061261177063,0
2026-03-04 13:00:00+00:00,1.163602590560913,1.1653653383255005,1.1634671688079834,1.163602590560913,1.163602590560913,0
2026-03-04 14:00:00+00:00,1.1634671688079834,1.1642799377441406,1.1626555919647217,1.1627906560897827,1.1627906560897827,0
2026-03-04 15:00:00+00:00,1.1627906560897827,1.1642799377441406,1.1621150970458984,1.1641442775726318,1.1641442775726318,0
2026-03-04 16:00:00+00:00,1.1644154787063599,1.1648223400115967,1.1633317470550537,1.1640088558197021,1.1640088558197021,0
2026-03-04 17:00:00+00:00,1.1641442775726318,1.1645511388778687,1.163061261177063,1.163602590560913,1.163602590560913,0
2026-03-04 18:00:00+00:00,1.163602590560913,1.163602590560913,1.1626555919647217,1.1626555919647217,1.1626555919647217,0
2026-03-04 19:00:00+00:00,1.1629259586334229,1.1644154787063599,1.1629259586334229,1.1644154787063599,1.1644154787063599,0
