Ticker,GC=F,GC=F,GC=F,GC=F,GC=F,GC=F
Price,Open,High,Low,Close,Adj Close,Volume
Datetime,,,,,,
2026-03-10 10:00:00+00:00,5191.5,5193.2998046875,5165.60009765625,5186.60009765625,5186.60009765625,0
2026-03-10 11:00:00+00:00,5186.60009765625,5201.10009765625,5180.89990234375,5184.2001953125,5184.2001953125,6776
2026-03-10 12:00:00+00:00,5184.60009765625,5198.89990234375,5171.39990234375,5196.5,5196.5,6641
2026-03-10 13:00:00+00:00,5196.2001953125,5238.89990234375,5194.89990234375,5214.2001953125,5214.2001953125,23344
2026-03-10 14:00:00+00:00,5215.39990234375,5224.0,5193.60009765625,5215.7998046875,5215.7998046875,16453
2026-03-10 15:00:00+00:00,5216.0,5248.7001953125,5212.0,5238.0,5238.0,16210
2026-03-10 16:00:00+00:00,5238.10009765625,5245.10009765625,5232.2001953125,5236.89990234375,5236.89990234375,10769
2026-03-10 17:00:00+00:00,5236.89990234375,5244.5,5232.60009765625,5237.10009765625,5237.10009765625,13336
2026-03-10 18:00:00+00:00,5237.0,5237.2998046875,5169.0,5200.0,5200.0,14491
2026-03-10 19:00:00+00:00,5200.2998046875,5216.5,5188.7001953125,5207.0,5207.0,5803
2026-03-10 20:00:00+00:00,5206.7001953125,5207.7001953125,5198.5,5198.7001953125,5198.7001953125,1622
2026-03-10 22:00:00+00:00,5194.0,5206.2001953125,5191.2998046875,5196.7001953125,5196.7001953125,0
2026-03-10 23:00:00+00:00,5197.2001953125,5206.0,5195.2001953125,5204.89990234375,5204.89990234375,1487
2026-03-11 00:00:00+00:00,5205.0,5227.0,5194.0,5223.10009765625,5223.10009765625,3771
2026-03-11 01:00:00+00:00,5223.0,5230.89990234375,5215.89990234375,5215.89990234375,5215.89990234375,3201
2026-03-11 02:00:00+00:00,5215.89990234375,5228.7001953125,5202.0,5225.39990234375,5225.39990234375,3951
2026-03-11 03:00:00+00:00,5225.5,5228.5,5207.5,5211.10009765625,5211.10009765625,2384
2026-03-11 04:00:00+00:00,5211.5,5217.10009765625,5207.89990234375,5212.7998046875,5212.7998046875,1413
2026-03-11 05:00:00+00:00,5212.5,5216.7998046875,5197.7998046875,5207.60009765625,5207.60009765625,2569
2026-03-11 06:00:00+00:00,5207.2001953125,5218.39990234375,5199.60009765625,5205.7998046875,5205.7998046875,2806
2026-03-11 07:00:00+00:00,5205.0,5209.7998046875,5192.10009765625,5203.7001953125,5203.7001953125,5248
2026-03-11 08:00:00+00:00,5203.2998046875,5206.7001953125,5183.2998046875,5195.2001953125,5195.2001953125,5657
2026-03-11 09:00:00+00:00,5194.89990234375,5205.10009765625,5187.10009765625,5195.7001953125,5195.7001953125,4462
