Ticker,AMD,AMD,AMD,AMD,AMD,AMD,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2024-03-18,193.2899932861328,193.5,188.0500030517578,190.64999389648438,190.64999389648438,59306900,90.38800048828125,92.40499877929688,87.08499908447266,88.45500183105469,88.40511322021484,668976000
2024-03-19,183.16000366210938,185.61000061035156,177.36000061035156,181.4199981689453,181.4199981689453,83509500,86.69999694824219,90.54399871826172,85.01000213623047,89.39800262451172,89.34758758544922,672171000
2024-03-20,182.02999877929688,182.67999267578125,174.0,179.72999572753906,179.72999572753906,81773100,89.7969970703125,90.41000366210938,88.2229995727539,90.37200164794922,90.32103729248047,479063000
2024-03-21,185.97000122070312,187.69000244140625,177.66000366210938,178.67999267578125,178.67999267578125,75265600,92.30000305175781,92.64800262451172,90.40499877929688,91.43499755859375,91.38341522216797,480372000
2024-03-22,177.2100067138672,180.75999450683594,175.0500030517578,179.64999389648438,179.64999389648438,57899100,91.14099884033203,94.77799987792969,90.83399963378906,94.28900146484375,94.2358169555664,586719000
2024-03-25,172.89999389648438,182.8000030517578,172.0,178.6300048828125,178.6300048828125,71935300,93.94100189208984,96.76599884033203,93.51000213623047,95.00199890136719,94.94841766357422,552136000
2024-03-26,179.5399932861328,182.60000610351562,176.3300018310547,177.8699951171875,177.8699951171875,65322400,95.85099792480469,96.375,92.50199890136719,92.56099700927734,92.50879669189453,513648000
2024-03-27,179.9600067138672,181.22999572753906,175.39999389648438,179.58999633789062,179.58999633789062,55685600,93.11199951171875,93.23999786376953,89.12300109863281,90.25,90.1990966796875,586067000
2024-03-28,179.47000122070312,183.39999389648438,178.3000030517578,180.49000549316406,180.49000549316406,57628600,90.0,91.30000305175781,89.19300079345703,90.35600280761719,90.30503845214844,435212000
2024-04-01,180.10000610351562,187.24000549316406,179.89999389648438,183.33999633789062,183.33999633789062,74299900,90.29900360107422,92.2249984741211,89.2040023803711,90.36299896240234,90.3120346069336,452441000
2024-04-02,179.47000122070312,180.10000610351562,174.8300018310547,178.6999969482422,178.6999969482422,61598800,88.447998046875,90.09400177001953,87.62000274658203,89.4520034790039,89.40153503417969,433064000
